bdew_code,market_function,role_code,company_uid,company_name,company_id,code_row_id
9979282000008,Bilanzkreisverantwortlicher,BKV,664804,be.storaged GmbH,50612,59669
9979284000006,Lieferant,LF,664804,be.storaged GmbH,50612,59671
9979285000005,Einsatzverantwortlicher,EIV,663721,ELECTRABEL SA,13785,59672
9979286000004,Bilanzkreisverantwortlicher,BKV,664907,"Stadtwerke Hürth, Technische Betriebe und Einrichtungen, Anstalt des öffentlichen Rechts",55691,59673
9979287000003,Lieferant,LF,664900,SWTE Netz GmbH & Co. KG,55684,59674
9979288000002,Messstellenbetreiber,MSB,664873,Stadtwerke Olching Stromnetz GmbH & Co.KG,54659,59675
9979289000001,Lieferant,LF,664913,Stadtwerke Recklinghausen GmbH,55697,59677
9979290000008,Lieferant,LF,664907,"Stadtwerke Hürth, Technische Betriebe und Einrichtungen, Anstalt des öffentlichen Rechts",55691,59678
9979291000007,Bilanzkreisverantwortlicher,BKV,662123,Stadtwerke Elm-Lappwald GmbH,2235,59680
9979292000006,Messstellenbetreiber,MSB,662123,Stadtwerke Elm-Lappwald GmbH,2235,59681
9979296000002,Netznutzer ohne All-Inklusiv-Vertrag,NN,664925,BBM Baumarkt Barsinghausen GmbH,55709,59685
9979297000001,Bilanzkreisverantwortlicher,BKV,663695,Charité – Universitätsmedizin Berlin,12763,59686
9979298000000,Messstellenbetreiber,MSB,664927,Sagemcom IMD Center GmbH,55711,59687
9979301000004,Einsatzverantwortlicher,EIV,664932,Südzucker AG,56704,60683
9979303000002,Bilanzkreisverantwortlicher,BKV,664904,RWE Generation Hydro GmbH,55688,60685
9979305000000,Lieferant,LF,664937,Steil Energie GmbH,56709,60688
9979306000009,Lieferant,LF,664940,"Stadtwerke Weilheim i.OB., Anstalt des öffentlichen Rechts",56712,60689
9979307000008,Einsatzverantwortlicher,EIV,662483,SWS Energie GmbH,2595,60690
9979308000007,Lieferant,LF,664944,Brillant Energie GmbH,56716,60691
9979310000003,Messstellenbetreiber,MSB,664950,BUD Bau- und Dienstleistung GmbH,56722,60693
9979312000001,Bilanzkreisverantwortlicher,BKV,664951,OCTAEDER GMBH,56723,60695
9979313000000,Bilanzkreisverantwortlicher,BKV,662132,Stadtwerke Landshut,2244,60696
9979314000009,Bilanzkreisverantwortlicher,BKV,664124,Stadtwerke Neumarkt i.d.Opf. Energie GmbH,19174,60697
9979315000008,Einsatzverantwortlicher,EIV,664870,Müllheizkraftwerk Rothensee GmbH,53664,60698
9979316000007,Bilanzkreisverantwortlicher,BKV,664944,Brillant Energie GmbH,56716,60699
9979318000005,Einsatzverantwortlicher,EIV,661529,MVV Trading GmbH,1635,60701
9979319000004,Bilanzkreisverantwortlicher,BKV,664961,Norlys Energy Trading A/S,56733,60702
9979320000001,Messstellenbetreiber,MSB,664230,EnergieServicePlus GmbH,21277,60703
9979322000009,Bilanzkreisverantwortlicher,BKV,664967,AXPO NORDIC AS,56739,60705
9979323000008,Lieferant,LF,664971,Thiele GmbH & Co. KG,56743,60706
9979324000007,Lieferant,LF,664973,LFE GmbH,56745,60707
9979325000006,Lieferant,LF,660714,Energieverbund Gierstädt GmbH,815,60708
9979327000004,Lieferant,LF,664982,BEG Energiegesellschaft mbH,56754,60710
9979328000003,Messstellenbetreiber,MSB,664984,Triowatt GmbH,56756,60711
9979329000002,Netznutzer ohne All-Inklusiv-Vertrag,NN,664986,Franz Anton Niedermayr Graphische Kunstanstalt GmbH & Co. KG,56758,60712
9979330000009,Lieferant,LF,662818,FORTAS Energie Gas GmbH,2933,60713
9979331000008,Bilanzkreisverantwortlicher,BKV,662818,FORTAS Energie Gas GmbH,2933,60714
9979332000007,Netznutzer ohne All-Inklusiv-Vertrag,NN,664990,cp energie GmbH,56762,60715
9979333000006,Lieferant,LF,664991,Hospitalverbund Service Soest gGmbH,56763,60716
9979335000004,Lieferant,LF,664459,KlimaInvest Green Concepts GmbH,29440,60718
9979337000002,Bilanzkreisverantwortlicher,BKV,664999,ADLER Energie Service GmbH,56771,60720
9979339000000,Bilanzkreisverantwortlicher,BKV,660774,energis GmbH,876,60722
9979340000007,Lieferant,LF,664999,ADLER Energie Service GmbH,56771,60723
9979342000005,Lieferant,LF,665002,Univers Operations GmbH,56774,60725
9979343000004,Einsatzverantwortlicher,EIV,662397,Statkraft Markets GmbH,2509,60726
9979345000002,Netznutzer ohne All-Inklusiv-Vertrag,NN,662528,ThyssenKrupp Steel Europe AG,2642,60728
9979346000001,Lieferant,LF,665005,Stadtwerke Kierspe Gesellschaft mit beschränkter Haftung,56777,60729
9979350000005,Lieferant,LF,665012,ExtraGrün GmbH,56784,60733
9979352000003,Einsatzverantwortlicher,EIV,661718,Quadra Energy GmbH,1826,60735
9979353000002,Einsatzverantwortlicher,EIV,660897,EWE TRADING GmbH,1000,60736
9979354000001,Bilanzkreisverantwortlicher,BKV,660885,EVU Weilerbach,988,60737
9979356000009,Lieferant,LF,664752,Frequenz Energy-as-a-Service GmbH,48579,60739
9979357000008,Lieferant,LF,665023,Stadtkrankenhaus Korbach Service-GmbH,56795,60740
9979358000007,Bilanzkreisverantwortlicher,BKV,662772,Kraftwerk Obernburg GmbH,2887,60741
9979360000003,Bilanzkreisverantwortlicher,BKV,665012,ExtraGrün GmbH,56784,60743
9979361000002,Lieferant,LF,665030,DS Smith Paper Deutschland GmbH,56802,60744
9979362000001,Einsatzverantwortlicher,EIV,660928,Uniper Energy Sales GmbH,1031,60745
9979364000009,Lieferant,LF,665034,Iberdrola Strom GmbH,56806,60747
9979365000008,Bilanzkreisverantwortlicher,BKV,665034,Iberdrola Strom GmbH,56806,60748
9979366000007,Einsatzverantwortlicher,EIV,664302,ANE GmbH & Co. KG,23332,60749
9979367000006,Netznutzer ohne All-Inklusiv-Vertrag,NN,665038,Bayerische Landeskraftwerke GmbH,56810,60750
9979368000005,Einsatzverantwortlicher,EIV,665040,PD energy GmbH,56812,60752
9979369000004,Bilanzkreisverantwortlicher,BKV,664502,Universitätsklinikum Carl Gustav Carus Dresden an der Technischen Universität Dresden Anstalt des öffentlichen Rechts des Freistaates Sachsen,31462,60753
9979371000000,Bilanzkreisverantwortlicher,BKV,663572,Universitätsklinikum Leipzig AöR,8653,60756
9979372000009,Bilanzkreisverantwortlicher,BKV,663603,Berliner Verkehrsbetriebe (BVG),8684,60757
9979374000007,Bilanzkreisverantwortlicher,BKV,665049,Mjølner Power ApS,56821,60760
9979375000006,Messstellenbetreiber,MSB,661327,Karlsruher Institut für Technologie,1431,60761
9979379000002,Bilanzkreisverantwortlicher,BKV,665054,Vitol Gas & Power B.V.,56826,60765
9979380000009,Einsatzverantwortlicher,EIV,665055,RISQ Energy Limited,56827,60767
9979382000007,Messstellenbetreiber,MSB,661539,N-ERGIE Aktiengesellschaft,1645,60769
9979383000006,Messstellenbetreiber,MSB,669997,metrify smart metering GmbH,62794,60770
9979384000005,Lieferant,LF,664903,Stromnetz Weilheim GmbH & Co. KG,55687,60771
9979388000001,Lieferant,LF,665073,Yippie GmbH,56845,60775
9979389000000,Lieferant,LF,665075,Ostrom GmbH,56847,60776
9979390000007,Bilanzkreisverantwortlicher,BKV,665075,Ostrom GmbH,56847,60777
9979392000005,Lieferant,LF,663684,Energiequelle GmbH & Co. Windpark Feldheim 2006 KG,12752,60779
9979393000004,Einsatzverantwortlicher,EIV,669872,ZRE Zentrum für Ressourcen und Energie GmbH,61670,60780
